candidate,task,rank,feature,importance,capacity_feature_importance_fraction
queue_shadow,cancellation,20,ccrth_origin_metro_queue,0.10720599793693515,0.07473382663909926
queue_shadow,cancellation,21,ccrth_origin_arrival_demand_60m_log1p,0.1027844942124034,0.07473382663909926
queue_shadow,cancellation,22,ccrth_dest_metro_utilization,0.10262854884006936,0.07473382663909926
queue_shadow,cancellation,23,ccrth_dest_maximum_runway_length_kft,0.10076697538300787,0.07473382663909926
queue_shadow,cancellation,24,ccrth_origin_shadow_price,0.0967808258053985,0.07473382663909926
queue_shadow,cancellation,25,ccrth_origin_departure_demand_30m_log1p,0.09602057907886363,0.07473382663909926
queue_shadow,cancellation,26,ccrth_dest_metro_queue,0.09395195175001811,0.07473382663909926
queue_shadow,cancellation,27,ccrth_origin_burstiness_15_to_60,0.08941583845633093,0.07473382663909926
queue_shadow,cancellation,28,ccrth_origin_departure_demand_120m_log1p,0.08816442363700734,0.07473382663909926
queue_shadow,cancellation,29,ccrth_dest_runway_effective_end_count,0.08715069038255206,0.07473382663909926
queue_shadow,cancellation,30,ccrth_origin_arrival_demand_120m_log1p,0.08584481766712014,0.07473382663909926
queue_shadow,cancellation,31,ccrth_dest_expected_slack,0.08250747805581318,0.07473382663909926
queue_shadow,cancellation,32,ccrth_dest_minimum_runway_length_kft,0.0816870447911067,0.07473382663909926
queue_shadow,cancellation,33,ccrth_origin_movement_utilization,0.07926228359915027,0.07473382663909926
queue_shadow,cancellation,34,ccrth_dest_movement_frontier_p50,0.0771417341366279,0.07473382663909926
queue_shadow,cancellation,35,ccrth_origin_historical_frontier_support_days_log1p,0.07374403763428583,0.07473382663909926
queue_shadow,cancellation,36,ccrth_origin_minutes_until_next_same_direction_log1p,0.07025022679773305,0.07473382663909926
queue_shadow,cancellation,37,ccrth_dest_runway_configuration_entropy,0.0664724355625384,0.07473382663909926
queue_shadow,cancellation,38,ccrth_origin_runway_configuration_entropy,0.06454633905422791,0.07473382663909926
queue_shadow,cancellation,39,ccrth_dest_expected_queue,0.06313785884199179,0.07473382663909926
queue_shadow,cancellation,40,ccrth_dest_historical_frontier_support_days_log1p,0.06115402719467324,0.07473382663909926
hypergraph,cancellation,1,ccrth_route_max_weather_capacity_stress,1.3944852091139364,0.09167125367802638
hypergraph,cancellation,2,ccrth_route_max_queue_p90,0.5238454234279453,0.09167125367802638
hypergraph,cancellation,3,ccrth_dest_capacity_scenario_good_probability,0.471933064765401,0.09167125367802638
hypergraph,cancellation,4,ccrth_route_max_metro_utilization,0.35574215437665735,0.09167125367802638
hypergraph,cancellation,5,ccrth_dest_metro_movement_demand_60m_log1p,0.33003225732257924,0.09167125367802638
