airport,joint_log_loss,joint_log_loss_delta_vs_flare24,method,multiclass_brier,multiclass_brier_delta_vs_flare24,n,role
CVG,0.5412189859832133,-0.0015501134598522315,task_factorized_global_q4,0.32664872231449227,-0.00024445896529451394,30824,origin
DAL,0.5569890638280416,-0.0006961442676710616,task_factorized_global_q4,0.34022631061218306,-1.8264196360140428e-05,65842,origin
DAY,0.5518914815454428,-0.0012778051170653226,task_factorized_global_q4,0.3229059939736517,-8.084610449260454e-05,7562,origin
DCA,0.6573238429536091,-0.0016130061727506195,task_factorized_global_q4,0.3940226639110577,-0.00013980018985726428,127289,origin
DEN,0.5434228199102774,-0.00015931700074756083,task_factorized_global_q4,0.3432489709611729,-4.999498112723266e-07,243152,origin
DFW,0.6689363967061619,-0.00020581160223920314,task_factorized_global_q4,0.4093044875657528,-1.8424108133019423e-06,221410,origin
DSM,0.5411605055389181,-0.0018909942887057607,task_factorized_global_q4,0.3179942528842409,-0.0002359705802148504,13622,origin
DTW,0.5236883156961045,-0.0007211855389727129,task_factorized_global_q4,0.31978608312675816,-7.840002642206523e-05,108498,origin
ELP,0.47469960970635683,-0.0006637085414583077,task_factorized_global_q4,0.27857004481665154,-3.7717524140779e-05,16763,origin
EWR,0.612740623795424,-0.0008909346484898828,task_factorized_global_q4,0.3695804190103914,-3.3286064559490125e-05,113771,origin
FAT,0.4772177055344538,-0.0003619265883730849,task_factorized_global_q4,0.2860065505893133,-9.19064731808028e-06,13175,origin
FLL,0.5529359432673406,-0.0009904213010597518,task_factorized_global_q4,0.34015516184048766,-7.548122275741198e-05,81633,origin
GEG,0.4270625390237759,-8.887322919809426e-05,task_factorized_global_q4,0.2532305208589989,7.2594119946978175e-06,17884,origin
GRR,0.5420623176057768,-0.0010903652618254878,task_factorized_global_q4,0.32797669415387964,-4.808504256442747e-05,16731,origin
GSO,0.5337232052712767,-0.00192676396927427,task_factorized_global_q4,0.30484773831451967,-0.00015082096509622112,10163,origin
GSP,0.5103026192316985,-0.0010655203455574025,task_factorized_global_q4,0.2961009126798354,-3.850809937455679e-05,13691,origin
HNL,0.43235495091100806,-0.0003001944510069299,task_factorized_global_q4,0.24787498876881675,-5.5298870050846105e-06,51232,origin
HOU,0.5193751546994649,0.00027916162684893386,task_factorized_global_q4,0.3143264857780695,-3.045930514311568e-06,50539,origin
HPN,0.5792732652511516,-0.003131670165530176,task_factorized_global_q4,0.3442565687226655,-0.0004179051882963747,10381,origin
IAD,0.509344466370617,-0.0005320916110274077,task_factorized_global_q4,0.31014987425346346,-3.4429937536217814e-05,54506,origin
IAH,0.5457150889786401,-0.00020646921019296105,task_factorized_global_q4,0.3332172924400686,-3.5927905635391166e-05,107923,origin
ICT,0.5822584680974116,-0.0019130743673489992,task_factorized_global_q4,0.34764425248251885,-5.438244423955352e-05,10780,origin
IND,0.506594216029311,-0.0006713184285580542,task_factorized_global_q4,0.30027328294327266,-9.168300355694159e-05,45448,origin
JAX,0.5196629093810925,-0.0009791184425432808,task_factorized_global_q4,0.3057013462871757,-5.721479081410852e-05,27657,origin
JFK,0.5850112328431349,-0.0007846529626943655,task_factorized_global_q4,0.3567368895151917,-0.00010004819740383475,100462,origin
KOA,0.4061482129948677,-0.00018516821092018354,task_factorized_global_q4,0.22323175527698857,1.542970043166836e-05,15585,origin
LAS,0.5077249464101844,-0.0002501437421011943,task_factorized_global_q4,0.3110649327890939,-8.164068982297046e-06,173080,origin
LAX,0.4685757539890254,-0.00032593203427871975,task_factorized_global_q4,0.27990786169448245,-1.6595235571403855e-05,178888,origin
LGA,0.6286842713091914,-0.0019336833550875898,task_factorized_global_q4,0.3820996677641779,-0.00017037122779578473,129295,origin
LGB,0.39810643114673305,-7.574809025601148e-05,task_factorized_global_q4,0.22907787798471707,1.461441523520346e-06,16513,origin
LIH,0.4268866070217603,-0.0006094840338525809,task_factorized_global_q4,0.23970349645114192,-2.228850084456946e-05,15466,origin
LIT,0.5603470276428286,-0.0006532904879819057,task_factorized_global_q4,0.3348909307888717,-7.610407499192284e-07,12520,origin
MAF,0.5035149741087137,-0.001229088536629619,task_factorized_global_q4,0.2940916192512521,-5.256784089235911e-05,9750,origin
MCI,0.5240581783017277,-0.0003507776198177215,task_factorized_global_q4,0.3154441518699151,4.820416086148693e-05,47217,origin
MCO,0.5388740693838335,-0.0006833696769356079,task_factorized_global_q4,0.33286920342948767,-3.191650923500822e-05,150588,origin
MDW,0.522623481441071,-0.0004407568258568695,task_factorized_global_q4,0.31995387278218446,-2.765594901599222e-05,71497,origin
