accuracy,accuracy_delta_vs_meta,airport,joint_log_loss,joint_log_loss_delta_vs_meta,multiclass_brier,multiclass_brier_delta_vs_meta,n,role,selected_method
0.7440402420354305,-0.0002916089523947729,GSP,0.5912991276826077,0.004473443647274422,0.36035881091669475,0.000916258326035646,13717,destination,boundary_gated_ensemble
0.8307502882717377,9.771923309953578e-05,HNL,0.4559238389469759,0.00010275955304267503,0.26635869105850485,-7.950978109461104e-06,51167,destination,boundary_gated_ensemble
0.787740055889173,0.0001981885565927044,HOU,0.5037923120013178,0.001241963215719788,0.30416596498605386,3.5554903856094278e-06,50457,destination,boundary_gated_ensemble
0.7385538670022264,-0.00038718420288441635,HPN,0.6053651608315015,0.005331635863863093,0.36817133452991124,0.00023154274535247543,10331,destination,boundary_gated_ensemble
0.8081089502721924,0.00034825961838080843,IAD,0.4801680065255712,-0.0004386761616091972,0.287177480996949,-0.0006294262755980329,54557,destination,boundary_gated_ensemble
0.787698155186799,7.416334476695319e-05,IAH,0.520340308968515,0.000868097640990273,0.31206347894503694,-8.599227085731576e-05,107870,destination,boundary_gated_ensemble
0.7443783683330236,0.0,ICT,0.59991911188887,0.004132036981170928,0.36598101366622593,0.0002907888014158644,10762,destination,boundary_gated_ensemble
0.7668169323804288,-0.00021990104452995762,IND,0.5506457327338774,0.0015784483061218602,0.33457077975446076,0.00013423971455683859,45475,destination,boundary_gated_ensemble
0.7467485549132948,-0.0009031791907514464,JAX,0.5808400805498943,0.0024131117580536987,0.35573310794989293,0.000318260558623662,27680,destination,boundary_gated_ensemble
0.7673729869870868,-0.00025926110584839623,JFK,0.5591950775882186,0.0031880139489992576,0.3351652234741925,0.0006171398229560809,100285,destination,boundary_gated_ensemble
0.8577486507324595,-0.00019275250578254521,KOA,0.4106836008051156,-0.00022080009048691673,0.23379071876513033,-0.00019708917353050692,15564,destination,boundary_gated_ensemble
0.7883299682722815,0.00024805307182007574,LAS,0.5031933686421564,-0.00034455071499395196,0.3087452815044772,-0.000568702325478676,173350,destination,boundary_gated_ensemble
0.809421494982867,-0.00010603506970408016,LAX,0.4754639040002108,8.017696655326922e-05,0.28645692437466985,-0.00024396949134686263,179186,destination,boundary_gated_ensemble
0.7291466476550634,0.00011623942221261618,LGA,0.6207457960691116,0.004744806113655797,0.37500015054796226,0.0004965606392957067,129044,destination,boundary_gated_ensemble
0.8291575889615105,0.00024207213749694034,LGB,0.44509048590706,-0.0006302600579487505,0.26624729629655397,-0.00045059706631750407,16524,destination,boundary_gated_ensemble
0.8662395651329838,-6.47123535884031e-05,LIH,0.4018846622441257,3.322021894669458e-05,0.22491597468526123,-0.0001088723808953529,15453,destination,boundary_gated_ensemble
0.7529966437589899,0.0004794630014383072,LIT,0.5841129740350547,0.003439374923366545,0.351450567111364,0.0004158499306680663,12514,destination,boundary_gated_ensemble
0.7698461538461538,0.00020512820512819108,MAF,0.5516436985161187,0.001550325447248313,0.3352336656474151,0.0001216696522765015,9750,destination,boundary_gated_ensemble
0.766533172292501,-0.00031784374801357984,MCI,0.5462260214511705,0.002168125459947934,0.3342336559446601,8.230846252216262e-05,47193,destination,boundary_gated_ensemble
